
|Genbank ID|ST|cpn60|fusA|gltA|pyrG|recA|rplB|rpoB|
|---|---|---|---|---|---|---|---|---|
|GCA_000015425.1_ASM1542v1|437|3|2|2|2|30|4|28|
|GCA_000069205.1_ASM6920v1|17|3|29|30|1|9|1|4|
|GCA_000184475.2_ASM18447v2|2|2|2|2|2|2|2|2|
|GCA_000184495.2_ASM18449v2|16|7|7|2|2|8|4|4|
|GCA_000184515.2_ASM18451v2|25|3|3|2|4|7|2|4|
|GCA_000186565.1_ASM18656v1|404|3|49|61|2|5|2|4|
|GCA_000186645.2_ASM18664v2|2|2|2|2|2|2|2|2|
|GCA_000186665.4_ASM18666v4|267|12|37|2|2|3|2|14|
|GCA_000187205.4_ASM18720v4|2|2|2|2|2|2|2|2|
|GCA_000189655.2_ASM18965v2|2|2|2|2|2|2|2|2|
|GCA_000189675.2_ASM18967v2|2|2|2|2|2|2|2|2|
|GCA_000189695.2_ASM18969v2|78|25|3|6|2|28|1|29|
|GCA_000189715.2_ASM18971v2|25|3|3|2|4|7|2|4|
|GCA_000189735.2_ASM18973v2|2|2|2|2|2|2|2|2|
|GCA_000214965.2_gacin09v1.0|25|3|3|2|4|7|2|4|
|GCA_000214985.2_gacin10v1.0|3|3|3|2|2|3|1|3|
|GCA_000215005.2_AcbauOIFC032v1.0|32|1|1|2|2|3|4|4|
|GCA_000222225.2_ASM22222v2|-|290?|2|2|2|2|2|2|
|GCA_000222245.2_ASM22224v2|2|2|2|2|2|2|2|2|
|GCA_000222265.2_ASM22226v2|415|2|2|2|2|68|2|2|
|GCA_000222285.2_ASM22228v2|2|2|2|2|2|2|2|2|
|GCA_000241665.2_ASM24166v2|3|3|3|2|2|3|1|3|
|GCA_000241685.2_ASM24168v2|1|1|1|1|1|5|1|1|
|GCA_000241705.2_ASM24170v2|25|3|3|2|4|7|2|4|
|GCA_000241725.2_ASM24172v2|2|2|2|2|2|2|2|2|
|GCA_000248195.2_ASM24819v2|69|21|25|24|15|24|17|24|
|GCA_000248255.2_ASM24825v2|2|2|2|2|2|2|2|2|
|GCA_000248275.2_ASM24827v2|2|2|2|2|2|2|2|2|
|GCA_000282795.3_ASM28279v3|2|2|2|2|2|2|2|2|
|GCA_000307975.2_ASM30797v2|2|2|2|2|2|2|2|2|
|GCA_000353935.1_ABNIH5_1|2|2|2|2|2|2|2|2|
|GCA_000353955.1_ABNIH6_1|1|1|1|1|1|5|1|1|
|GCA_000353995.1_ABNIH10_1|1|1|1|1|1|5|1|1|
|GCA_000464705.1_ASM46470v1|2|2|2|2|2|2|2|2|
|GCA_000505685.2_ASM50568v2|639|3|3|2|2|11|57|4|
|GCA_000509305.1_ASM50930v1|2|2|2|2|2|2|2|2|
|GCA_000509325.1_ASM50932v1|2|2|2|2|2|2|2|2|
|GCA_000509345.1_ASM50934v1|2|2|2|2|2|2|2|2|
|GCA_000515795.2_gabuh19608_v01|79|26|2|2|2|29|4|5|
|GCA_000516095.2_gabuh99pb_v01|2|2|2|2|2|2|2|2|
|GCA_000522525.1_AB-MDR-MMC4|-|~247|2|2|2|2|2|2|
|GCA_000580355.2_ASM58035v2|500|3|3|2|2|28|1|5|
|GCA_000580435.2_ASM58043v2|416|1|2|2|2|4|1|4|
|GCA_000580495.2_ASM58049v2|499|5|2|39|2|3|1|5|
|GCA_000582965.2_ASM58296v2|16|7|7|2|2|8|4|4|
|GCA_000584375.2_ASM58437v2|2|2|2|2|2|2|2|2|
|GCA_000584515.2_ASM58451v2|499|5|2|39|2|3|1|5|
|GCA_000588575.2_ASM58857v2|-|2|2|2,2|2|2|2|2|
|GCA_000614705.1_ASM61470v1|52|3|2|2|7|9|1|5|
|GCA_000671455.1_ASM67145v1|-|2|2|2|2|2|2,2,2|2|
|GCA_000671695.1_ASM67169v1|2|2|2|2|2|2|2|2|
|GCA_000681715.1_ASM68171v1|-|17|20|23|2,10|2,20|~66|27|
|GCA_000682195.1_ASM68219v1|2|2|2|2|2|2|2|2|
|GCA_000682315.1_ASM68231v1|-|2|2|2|2,2,2,2|2|2|2|
|GCA_000682635.1_ASM68263v1|415|2|2|2|2|68|2|2|
|GCA_000784715.1_ASM78471v1|-|-|-|331?|-|271?|-|-|
|GCA_000808765.3_Velvet_assembly_of_Acinetobacter_baumannii_ABUH42783|2|2|2|2|2|2|2|2|
|GCA_000809885.3_ASM80988v3|2|2|2|2|2|2|2|2|
|GCA_000809945.3_ASM80994v3|2|2|2|2|2|2|2|2|
|GCA_000810625.3_ASM81062v3|2|2|2|2|2|2|2|2|
|GCA_000968965.1_ASM96896v1|215|27|2|7|2|2|1|2|
|GCA_001420305.1_ASM142030v1|-|26|2|2|2|250?|4|5|
|GCA_001420325.1_ASM142032v1|-|3|1|-|2|40?|88?|4|
|GCA_001420335.1_ASM142033v1|-|26|2|2|2|250?|4|5|
|GCA_001420385.1_ASM142038v1|79|26|2|2|2|29|4|5|
|GCA_001420405.1_ASM142040v1|15|6|6|8|2|3|5|4|
|GCA_001432865.1_ASM143286v1|406|1|1|1|2|65|1|5|
|GCA_001511955.1_7521_8_45|1|1|1|1|1|5|1|1|
